komuna,new,date
prishtinë ,68,2020-07-08
ferizaj ,55,2020-07-08
mitrovicë ,35,2020-07-08
fushë kosovë ,13,2020-07-08
prizren ,10,2020-07-08
lipjan,8,2020-07-08
vushtrri,6,2020-07-08
drenas,3,2020-07-08
podujevë,3,2020-07-08
gjakovë,2,2020-07-08
skenderaj,2,2020-07-08
obiliq,2,2020-07-08
han i elezit,2,2020-07-08
prishtinës ,73,2020-07-07
gjilanit ,20,2020-07-07
pejës ,13,2020-07-07
vushtrrisë ,11,2020-07-07
fushë kosovës ,10,2020-07-07
lipjanit ,10,2020-07-07
mitrovicës,9,2020-07-07
skenderajt,6,2020-07-07
ferizajt,6,2020-07-07
prizrenit,4,2020-07-07
drenasit,4,2020-07-07
podujevës,3,2020-07-07
kamenicës,3,2020-07-07
prishtinës 1,2,2020-07-06
ferizajt ,17,2020-07-06
fushë kosovës ,11,2020-07-06
gjakovës ,10,2020-07-06
gjilanit,8,2020-07-06
prizrenit,7,2020-07-06
deçanit,6,2020-07-06
mitrovicës,5,2020-07-06
drenasit,4,2020-07-06
skenderajt,4,2020-07-06
lipjanit,4,2020-07-06
obiliqit,3,2020-07-06
rahovecit,3,2020-07-06
pejës,2,2020-07-06
vushtrrisë,2,2020-07-06
prishtinës ,57,2020-07-05
prizrenit ,16,2020-07-05
fushë kosovës ,11,2020-07-05
vushtrrisë,9,2020-07-05
mitrovicës,8,2020-07-05
gjilanit,7,2020-07-05
drenasit,5,2020-07-05
gjakovës,5,2020-07-05
skenderajt,5,2020-07-05
kaçanikut,3,2020-07-05
lipjanit,3,2020-07-05
obiliqit,3,2020-07-05
pejës,3,2020-07-05
rahovecit,3,2020-07-05
kamenicës,2,2020-07-05
malishevës,2,2020-07-05
suharekës,2,2020-07-05
prishtinës ,81,2020-07-04
fushë kosovës ,16,2020-07-04
prizrenit ,10,2020-07-04
ferizajt ,10,2020-07-04
drenasit,9,2020-07-04
gjilanit,9,2020-07-04
vushtrrisë,8,2020-07-04
lipjanit,6,2020-07-04
skenderajt,6,2020-07-04
mitrovicës,4,2020-07-04
pejës,4,2020-07-04
podujevës,4,2020-07-04
shtimes,3,2020-07-04
vitisë,2,2020-07-04
ferizajt ,35,2020-07-03
prishtinës ,17,2020-07-03
mitrovicës,9,2020-07-03
pejës,9,2020-07-03
vushtrrisë,9,2020-07-03
prizrenit,8,2020-07-03
gjakovës,7,2020-07-03
rahovecit,5,2020-07-03
gjilanit,4,2020-07-03
vitisë,3,2020-07-03
prishtinës ,44,2020-07-02
lipjanit,7,2020-07-02
ferizajt,5,2020-07-02
vushtrrisë,5,2020-07-02
fushë kosovës,3,2020-07-02
obiliqit,3,2020-07-02
prishtinës ,36,2020-07-01
ferizajt ,15,2020-07-01
gjilanit ,12,2020-07-01
prizrenit ,11,2020-07-01
mitrovicës ,10,2020-07-01
fushë kosovës,6,2020-07-01
vushtrrisë,6,2020-07-01
drenasit,3,2020-07-01
vitisë,2,2020-07-01
skenderajt,2,2020-07-01
prishtinës ,40,2020-06-30
vushtrrisë ,10,2020-06-30
fushë kosovës,7,2020-06-30
mitrovicës,4,2020-06-30
podujevës,3,2020-06-30
gjakovës,3,2020-06-30
ferizajt,2,2020-06-30
skenderajt,2,2020-06-30
lipjanit,2,2020-06-30
prishtinës ,41,2020-06-29
ferizajt ,21,2020-06-29
pejës ,10,2020-06-29
gjakovës,8,2020-06-29
prizrenit,7,2020-06-29
fushë kosovës,5,2020-06-29
gjilanit,5,2020-06-29
vushtrrisë,5,2020-06-29
podujevës,4,2020-06-29
kamenicës,3,2020-06-29
vitisë,3,2020-06-29
shtimes,2,2020-06-29
prishtinës ,33,2020-06-28
prizrenit,7,2020-06-28
podujevës,6,2020-06-28
mitrovicës,6,2020-06-28
lipjanit,4,2020-06-28
suharekës,4,2020-06-28
gjilanit,4,2020-06-28
ferizajt,3,2020-06-28
fushë kosovës,3,2020-06-28
mamushës,3,2020-06-28
skenderajt,3,2020-06-28
vushtrrisë,3,2020-06-28
rahovecit,2,2020-06-28
prishtinës ,44,2020-06-27
prizrenit ,10,2020-06-27
pejës,7,2020-06-27
rahovecit,5,2020-06-27
ferizajt,5,2020-06-27
suharekës,4,2020-06-27
mitrovicës,3,2020-06-27
gjakovës,3,2020-06-27
gjilanit,4,2020-06-27
vushtrrisë,4,2020-06-27
prishtinës ,32,2020-06-26
prizrenit,4,2020-06-26
rahovecit,4,2020-06-26
gjakovës,3,2020-06-26
gjilanit,3,2020-06-26
kamenicës,2,2020-06-26
lipjanit,2,2020-06-26
mamushës,2,2020-06-26
prishtinës ,37,2020-06-25
istogut,8,2020-06-25
prizrenit,5,2020-06-25
fushë kosovës,5,2020-06-25
mitrovicës,3,2020-06-25
ferizajt,2,2020-06-25
pejës ,18,2020-06-24
vitisë ,16,2020-06-24
prizrenit ,15,2020-06-24
prishtinës ,15,2020-06-24
mamushës,8,2020-06-24
gjilanit,8,2020-06-24
gjakovës,3,2020-06-24
istogut,2,2020-06-24
lipjanit,2,2020-06-24
prizrenit ,15,2020-06-23
prishtinës ,13,2020-06-23
mamushës,6,2020-06-23
fushë kosovës,5,2020-06-23
vushtrrisë,4,2020-06-23
gjilanit,3,2020-06-23
prishtinës ,18,2020-06-22
vushtrrisë,6,2020-06-22
prizrenit,4,2020-06-22
vitisë,3,2020-06-22
podujevës,3,2020-06-22
gjilanit,3,2020-06-22
gjilanit ,20,2020-06-21
prishtinës ,19,2020-06-21
prizrenit ,19,2020-06-21
mitrovicës ,15,2020-06-21
pejës,6,2020-06-21
vitisë,6,2020-06-21
vushtrrisë,3,2020-06-21
drenasit,2,2020-06-21
prishtinës ,36,2020-06-20
vushtrrisë,9,2020-06-20
mitrovicës,7,2020-06-20
prizrenit,5,2020-06-20
fushë kosovës,5,2020-06-20
skenderaj,4,2020-06-20
istog,3,2020-06-20
prishtinës,4,2020-06-19
gjakovës ,14,2020-06-19
vushtrrisë,7,2020-06-19
prizrenit,5,2020-06-19
ferizajit,3,2020-06-19
vitisë,3,2020-06-19
podujevës,2,2020-06-19
vushtrrisë ,15,2020-06-18
prishtinës ,14,2020-06-18
gjilanit ,12,2020-06-18
pejës,9,2020-06-18
mitrovicës,9,2020-06-18
dragashit,8,2020-06-18
mamushës,7,2020-06-18
